Date Executed,Period Date For Workload,Period Type,Client,DB,System ID,OS,SAP Release,Hostname,,,,,,,,,,,
PP30,2,3,3446,10,0.085,0,0,0,0,0.085,T,SAP Room Reservation Management,PE,Room Reservation Management,Application Components->Training and Event Management->Room Reservation Management->PP30(SAP Room Reservation Management),SAP->PE->PE-RPL->PP30(SAP Room Reservati,,,
KS01,1,7,1601,364,0.042,0,0,0.008,0.03465,0.08465,T,Create cost center,CO,Overhead Cost Controlling,Application Components->Controlling->Overhead Cost Controlling->KS01(Create cost center),SAP->CO->CO-OM->KS01(Create cost center),,,
SE30_OLD,1,25,50221,55,0.042,0,0.002,0.001,0.0396,0.0846,T,ABAP Objects Runtime Analysis,BC,Runtime Analysis,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Modelers->Runtime Analysis->SE30_OLD(ABAP Objects Runtime Analysis),SAP->BC->BC-DWB->BC-DWB-TOO->BC-DWB-TOO-,,,
FK02,1,53,23,987030,0.042,0.022,0,0.009,0.0111,0.0841,W,Change Vendor (Accounting),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->FK02(Change Vendor (Accounting)),LO-MD-BP-VM,,,
fin.ap.paymentproposal.schedule,1,6,15,534428,0.042,0.002,0,0.005,0.03435,0.08335,F,Schedule Payment Proposal,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.paymentproposal.schedule(Schedule Payment Proposal),FI-FIO-AP,,,
PPMDT,1,46,24,1123983,0.042,0.019,0,0.011,0.0096,0.0816,W,Manager's Desktop,BC,Basis Components,Application Components->Basis Components->Business Management->Organizational Management->Organizational Plan->PPMDT(Manager's Desktop),BC-BMT-OM-OM,,,
FB09,1,5,2792,539,0.042,0,0,0.012,0.02475,0.07875,T,Change Line Items,FI,Financial Accounting,Application Components->Financial Accounting->FB09(Change Line Items),SAP->FI->FB09(Change Line Items),,,
/SCWM/PRDO,1,31,46193,5,0.042,0,0.002,0,0.03465,0.07865,T,Maintain Outbound Delivery Order,SC,Delivery Processing,Application Components->Supply Chain Management->Extended Warehouse Management->Delivery Processing->/SCWM/PRDO(Maintain Outbound Delivery Order),SAP->SCM->SCM-EWM->SCM-EWM-DLP->/SCWM/PR,,,
s2p.mm.pur.rfq.maintains1,1,6,25,889218,0.042,0.002,0,0.009,0.02535,0.07835,F,Manage Request For Quotation,MM,Materials Management,Application Components->Materials Management->Purchasing->RFQ/Quotation->s2p.mm.pur.rfq.maintains1(Manage Request For Quotation),MM-PUR-RFQ,,,
fin.re.convalcps1,1,1,10,758090,0.042,0,0,0.007,0.02805,0.07705,F,Contract Valuation Overview Page,RE,Real Estate Management,Application Components->Real Estate Management->Flexible Real Estate Management->Flexible Real Estate Management->fin.re.convalcps1(Contract Valuation Overview Page),RE-FX-FIO,,,
SD_FPM_OVP_SALESVOLUME,1,42,172,614741,0.042,0.017,0,0.006,0.0114,0.0764,W,Sales Volume - Flexible Analysis,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales Analytics->SD_FPM_OVP_SALESVOLUME(Sales Volume - Flexible Analysis),SD-ANA,,,
BCALV_TEST_GRID_EVENTS,1,1488,158711,184,0.042,0.023,0.007,0.004,0,0.076,R,Program BCALV_TEST_GRID_EVENTS,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BCALV_TEST_GRID_EVENTS(Program BCALV_TEST_GRID_EVENTS),SAP->BC->BC-SRV->BC-SRV-ALV->BCALV_TEST_,,,
VF05,1,34,17434,224,0.042,0.001,0.001,0.005,0.02475,0.07375,T,List Billing Documents,SD,Basic Functions,Application Components->Sales and Distribution->Sales->Basic Functions->VF05(List Billing Documents),SAP->SD->SD-SLS->SD-SLS-GF->VF05(List Bi,,,
CAT2,1,35,19522,865,0.042,0.001,0.001,0.019,0.01005,0.07305,T,Time Sheet: Maintain Times,CA,Time Sheet,Application Components->Cross-Application Components->Time Sheet->CAT2(Time Sheet: Maintain Times),SAP->CA->CA-TS->CAT2(Time Sheet: Maintai,,,
F-28,1,12,5514,0,0.042,0,0,0,0.02985,0.07185,T,Post Incoming Payments,FI,Financial Accounting,Application Components->Financial Accounting->F-28(Post Incoming Payments),SAP->FI->F-28(Post Incoming Payments),,,
MMPV,1,30,5649,12,0.042,0,0,0,0.02985,0.07185,T,Close Periods,LO,Material Master,Application Components->Logistics - General->Logistics Basic Data->Material Master->MMPV(Close Periods),SAP->LO->LO-MD->LO-MD-MM->MMPV(Close Per,,,
V-11,1,1,1,235,0.042,0,0,0.005,0.02475,0.07175,T,Create carrier,FI,Basic Functions,Application Components->Financial Accounting->Accounts Payable->Basic Functions->V-11(Create carrier),SAP->FI->FI-AP->FI-AP-AP->V-11(Create ca,,,
fin.gl.manualclearing,1,31,28,368697,0.042,0.013,0,0.004,0.01245,0.07145,F,Clear G/L Accounts,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->fin.gl.manualclearing(Clear G/L Accounts),FI-FIO-GL,,,
fin.gl.profitcenter.manage.v2,1,5,35,261051,0.042,0.002,0,0.003,0.0231,0.0701,F,Manage Profit Centers v2,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->fin.gl.profitcenter.manage.v2(Manage Profit Centers v2),FI-FIO-GL,,,
MD04,1,15,17009,1111,0.042,0,0.001,0.025,0,0.068,T,Display Stock/Requirements Situation,PP,Master Data,Application Components->Production Planning and Control->Material Requirements Planning->Master Data->MD04(Display Stock/Requirements Situation),SAP->PP->PP-MRP->PP-MRP-BD->MD04(Display,,,
FSE2,1,20,532,36,0.042,0,0,0.001,0.02475,0.06775,T,Change Financial Statement Version,FI,General Ledger Accounting,Application Components->Financial Accounting->General Ledger Accounting->FSE2(Change Financial Statement Version),SAP->FI->FI-GL->FSE2(Change Financial St,,,
VFX3,1,9,2004,29,0.042,0,0,0.001,0.02475,0.06775,T,List Blocked Billing Documents,SD,Billing,Application Components->Sales and Distribution->Billing->VFX3(List Blocked Billing Documents),SAP->SD->SD-BIL->VFX3(List Blocked Billi,,,
VF23,1,32,24,551348,0.042,0.013,0,0.005,0.0069,0.0669,W,Display Invoice Lists,SD,Sales and Distribution,Application Components->Sales and Distribution->Billing->VF23(Display Invoice Lists),SD-BIL,,,
MMRV,1,6,1864,5,0.042,0,0,0,0.02475,0.06675,T,Allow Posting to Previous Period,LO,Material Master,Application Components->Logistics - General->Logistics Basic Data->Material Master->MMRV(Allow Posting to Previous Period),SAP->LO->LO-MD->LO-MD-MM->MMRV(Allow Pos,,,
EC01,1,1,546,4,0.042,0,0,0,0.02475,0.06675,T,Org.Object Copier: Company Code,CA,Global Organization Customizing,Application Components->Cross-Application Components->Global Organization Customizing->EC01(Org.Object Copier: Company Code),SAP->CA->CA-CUS->EC01(Org.Object Copier:,,,
IQS23,1,2,1691,1079,0.042,0,0,0.024,0,0.066,T,Display Notif. - Simplified View,QM,Quality Notifications,Application Components->Quality Management->Quality Notifications->IQS23(Display Notif. - Simplified View),SAP->QM->QM-QN->IQS23(Display Notif. - S,,,
KCBA,1,1,1786,840,0.042,0,0,0.019,0.00495,0.06595,T,Report class overview,EC,Data Collection,Application Components->Enterprise Controlling->Executive Information System->Data Collection->KCBA(Report class overview),SAP->EC->EC-EIS->EC-EIS-DCM->KCBA(Report,,,
FK01,1,24,15,836615,0.042,0.01,0,0.008,0.0051,0.0651,W,Create Vendor (Accounting),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->FK01(Create Vendor (Accounting)),LO-MD-BP-VM,,,
BCALV_EDIT_02,1,992,96897,184,0.042,0.015,0.004,0.004,0,0.065,R,Define ready-for-input status at cell le,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BCALV_EDIT_02(Define ready-for-input status at cell level),SAP->BC->BC-SRV->BC-SRV-ALV->BCALV_EDIT_,,,
fin.gl.journalentry.verification,1,24,275,182322,0.042,0.01,0,0.002,0.0105,0.0645,F,Fiori App - G/L Journal Entry Verificati,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->fin.gl.journalentry.verification(Fiori App - G/L Journal Entry Verificati),FI-FIO-GL,,,
VD03,1,73,27069,230,0.042,0.001,0.001,0.005,0.01515,0.06415,T,Display Customer (Sales),LO,Customer Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->VD03(Display Customer (Sales)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-CM->V,,,
/IWFND/IWF_ACTIVATE,1,4,2010,77,0.042,0,0,0.002,0.0198,0.0638,T,Activate / Deactivate SAP Gateway,OP,IWF Common Services,Application Components->Occasional Platform User->Information Worker Foundation Framework->IWF Common Services->/IWFND/IWF_ACTIVATE(Activate / Deactivate SAP Gateway),SAP->OPU->OPU-FND->OPU-FND-CS->/IWFND/IW,,,
mdm.cmd.mdq.ruless1,1,2,8,216153,0.042,0.001,0,0.002,0.01785,0.06285,F,Master Data Quality Rule Repository,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analysis and Remediation of Data Quality->mdm.cmd.mdq.ruless1(Master Data Quality Rule Repository),CA-MDG-ADQ,,,
mdm.cmd.product.objectpages1,1,2,14,202931,0.042,0.001,0,0.002,0.0174,0.0624,F,Product Object Page,LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Material Master->mdm.cmd.product.objectpages1(Product Object Page),LO-MD-MM,,,
XK04,1,24,11,498695,0.042,0.01,0,0.005,0.0051,0.0621,W,Vendor Changes (Centrally),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->XK04(Vendor Changes (Centrally)),LO-MD-BP-VM,,,
FI02,1,3,810,9,0.042,0,0,0,0.0198,0.0618,T,Change Bank,CA,Bank,Application Components->Cross-Application Components->Bank->FI02(Change Bank),SAP->CA->CA-BK->FI02(Change Bank),,,
MDG_BS_MAT_SEARCH,1,24,51,206702,0.042,0.01,0,0.002,0.0072,0.0612,W,MDG-M: UI, Search,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Applications->MDG Material->MDG_BS_MAT_SEARCH(MDG-M: UI, Search),CA-MDG-APP-MM,
Z_UIPATH_PROCESS_MINING_SD,1,151,292829,184,0.042,0.002,0.013,0.004,0,0.061,R,UiPath Process Mining,CA,Cross-Application Components,Application Components->Cross-Application Components->Z_UIPATH_PROCESS_MINING_SD(UiPath Process Mining),SAP->CA->Z_UIPATH_PROCESS_MINING_SD(UiPa,,,
CAT3,1,5,2280,865,0.042,0,0,0.019,0,0.061,T,Time Sheet: Display Times,CA,Time Sheet,Application Components->Cross-Application Components->Time Sheet->CAT3(Time Sheet: Display Times),SAP->CA->CA-TS->CAT3(Time Sheet: Display,,,
Z_UIPATH_PROCESS_MINING_SD_LEV,1,403,192026,184,0.042,0.006,0.009,0.004,0,0.061,R,UiPath Process Mining,CA,Cross-Application Components,Application Components->Cross-Application Components->Z_UIPATH_PROCESS_MINING_SD_LEV(UiPath Process Mining),SAP->CA->Z_UIPATH_PROCESS_MINING_SD_LEV(,,,
i2d.le.st.delivery.create,1,3,6,160085,0.042,0.001,0,0.002,0.0153,0.0603,F,Create Outbound Deliveries,LE,Logistics Execution,Application Components->Logistics Execution->Shipping->Fiori Apps Shipping->i2d.le.st.delivery.create(Create Outbound Deliveries),LE-SHP-FIO,,,
i2d.pp.plannedorder.manages1,1,3,5,204975,0.042,0.001,0,0.002,0.0153,0.0603,F,Manage Planned Orders,PP,Production Planning and Control,Application Components->Production Planning and Control->Fiori UI for Production Planning and Control->Fiori UI for Production Planning and Control->i2d.pp.plannedorder.manages1(Manage Planned Orders),PP-FIO-MRP,,,
fin.cash.bankmaster.manage,1,3,5,677474,0.042,0.001,0,0.007,0.0096,0.0596,F,Manage Banks,FIN,Financials,Application Components->Financials->Fiori UI for Financials->Fiori UI for Cash and Liquidity Management->fin.cash.bankmaster.manage(Manage Banks),FIN-FIO-CLM,,,
mdm.md.businesspartner.manage,1,1,6,256600,0.042,0,0,0.002,0.0156,0.0596,F,UI for Business Partner Master,LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->mdm.md.businesspartner.manage(UI for Business Partner Master),LO-MD-BP,,,
SD_FPM_OVP_INCOMINGSLSORDERS,1,23,37,236024,0.042,0.01,0,0.002,0.0054,0.0594,W,Incoming Sales Orders - Flexible Analysi,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales Analytics->SD_FPM_OVP_INCOMINGSLSORDERS(Incoming Sales Orders - Flexible Analysi),SD-ANA,,,
i2d.pp.materialshortge.details.s1,1,2,3,162807,0.042,0.001,0,0.002,0.01365,0.05865,F,Manage Material Shortages - S4H OP,PP,Production Planning and Control,Application Components->Production Planning and Control->Fiori UI for Production Planning and Control->Fiori UI for Production Planning and Control->i2d.pp.materialshortge.details.s1(Manage Material S,PP-FIO-MRP,,,
XK02,1,22,9,326829,0.042,0.009,0,0.003,0.00465,0.05865,W,Change vendor (centrally),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->XK02(Change vendor (centrally)),LO-MD-BP-VM,,,
FK03,1,21,12561,235,0.042,0,0.001,0.005,0.01005,0.05805,T,Display Vendor (Accounting),LO,Vendor Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->FK03(Display Vendor (Accounting)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-VM->F,,,
MB23,1,4,1765,510,0.042,0,0,0.011,0.00495,0.05795,T,Display Reservation,MM,Inventory Management,Application Components->Materials Management->Inventory Management->MB23(Display Reservation),SAP->MM->MM-IM->MB23(Display Reservation,,,
MMBE,1,8,5979,507,0.042,0,0,0.011,0.00495,0.05795,T,Stock Overview,LO,Material Master,Application Components->Logistics - General->Logistics Basic Data->Material Master->MMBE(Stock Overview),SAP->LO->LO-MD->LO-MD-MM->MMBE(Stock Ove,,,
fin.co.internalorder.manage,1,7,5,122562,0.042,0.003,0,0.001,0.0117,0.0577,F,Manage Internal Orders,CO,Controlling,Application Components->Controlling->Fiori UI for Overhead Cost Controlling->fin.co.internalorder.manage(Manage Internal Orders),CO-FIO,,,
fin.ap.approvebankpayments,1,3,4,114153,0.042,0.001,0,0.001,0.01365,0.05765,F,Approve Bank Payments,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.approvebankpayments(Approve Bank Payments),FI-FIO-AP,,,
fin.co.productcost.workcenter,1,6,4,120097,0.042,0.002,0,0.001,0.0111,0.0561,F,Cost Analysis By Work Center/Operation,CO,Controlling,Application Components->Controlling->Fiori UI for Overhead Cost Controlling->fin.co.productcost.workcenter(Cost Analysis By Work Center/Operation),CO-FIO,,,
SAPTEXTEDIT_DEMO_1,1,488,47992,184,0.042,0.008,0.002,0.004,0,0.056,R,Demo program for attaching controls to v,BC,SAP GUI for Windows Controls,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP GUI for Windows Controls->SAPTEXTEDIT_DEMO_1(Demo program for attaching controls to various,SAP->BC->BC-FES->BC-FES-CTL->SAPTEXTEDIT,,,
PR05,1,12,7695,639,0.042,0,0,0.014,0,0.056,T,Travel Expense Manager,PE,Travel Expense Manager,Application Components->Training and Event Management->Travel Expense Manager->PR05(Travel Expense Manager),SAP->PE->FI-TV-COS->PR05(Travel Expense,,,
AS01,1,17,18,76117,0.042,0.007,0,0.001,0.00585,0.05585,W,Create Asset Master Record,FI,Financial Accounting,Application Components->Financial Accounting->Asset Accounting->Basic Functions->AS01(Create Asset Master Record),FI-AA-AA,,,
S_ALR_87012277,1,18,17,321339,0.042,0.007,0,0.003,0.00375,0.05575,W,G/L Account Balances,FI,Financial Accounting,Application Components->Financial Accounting->General Ledger Accounting->Information System->S_ALR_87012277(G/L Account Balances),FI-GL-IS,,,
ui.s2p.mm.supplinvoiceacclist,1,7,3,92651,0.042,0.003,0,0.001,0.0096,0.0556,F,Supplier Invoice Items by Account Assign,MM,Materials Management,Application Components->Materials Management->Materials Management->Materials Management->ui.s2p.mm.supplinvoiceacclist(Supplier Invoice Items by Account Assign),MM-FIO-IV,,,
cus.sd.salesorderswithoutcharge.manage,1,8,261,125498,0.042,0.003,0,0.001,0.00945,0.05545,F,Manage Sales Orders Without Charge,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->cus.sd.salesorderswithoutcharge.manage(Manage Sales Orders Without Charge),SD-SLS,,,
fin.aa.master.worklist,1,6,3,86989,0.042,0.002,0,0.001,0.01035,0.05535,F,Fiori App - Asset Accounting Master Work,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Asset Accounting->fin.aa.master.worklist(Fiori App - Asset Accounting Master Work),FI-FIO-AA,,,
ME2N,1,7,3213,378,0.042,0,0,0.008,0.00495,0.05495,T,Purchase Orders by PO Number,MM,Purchasing,Application Components->Materials Management->Purchasing->ME2N(Purchase Orders by PO Number),SAP->MM->MM-PUR->ME2N(Purchase Orders by,,,
i2d.pp.prdorderissue.details.s1,1,4,9,138645,0.042,0.002,0,0.001,0.00945,0.05445,F,Manage Production Orders - S4H OP,PP,Production Planning and Control,Application Components->Production Planning and Control->Fiori UI for Production Planning and Control->Fiori UI for Production Planning and Control->i2d.pp.prdorderissue.details.s1(Manage Production O,PP-FIO-MRP,,,
MDGF_OVP_GEN,1,16,22,149033,0.042,0.007,0,0.001,0.00435,0.05435,W,MDG-F Application,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Applications->MDG for Financials->MDGF_OVP_GEN(MDG-F Application),CA-MDG-APP-FIN,,,
OV51,1,15,11,319292,0.042,0.006,0,0.003,0.00315,0.05415,W,Display of Changes for Customer,SD,Sales and Distribution,Application Components->Sales and Distribution->Master Data->Material Maintenance->OV51(Display of Changes for Customer),SD-MD-MM,,,
FK03,1,14,7,319064,0.042,0.006,0,0.003,0.003,0.054,W,Display Vendor (Accounting),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->FK03(Display Vendor (Accounting)),LO-MD-BP-VM,,,
MB25,1,1,1639,336,0.042,0,0,0.007,0.00495,0.05395,T,Reservation List,MM,Inventory Management,Application Components->Materials Management->Inventory Management->MB25(Reservation List),SAP->MM->MM-IM->MB25(Reservation List),,,
fin.ap.processflow,1,1,3,138974,0.042,0,0,0.001,0.01065,0.05365,F,Fiori App - Display Process Flow AP,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.processflow(Fiori App - Display Process Flow AP),FI-FIO-AP,,,
i2d.pp.uncoveredpro.monitor.s1,1,5,6,173087,0.042,0.002,0,0.002,0.0075,0.0535,F,Monitor Uncovered Production Orders - S4,PP,Production Planning and Control,Application Components->Production Planning and Control->Fiori UI for Production Planning and Control->Fiori UI for Production Planning and Control->i2d.pp.uncoveredpro.monitor.s1(Monitor Uncovered Pr,PP-FIO-MRP,,,
AS03,1,14,11,165357,0.042,0.006,0,0.002,0.0033,0.0533,W,Display Asset Master Record,FI,Financial Accounting,Application Components->Financial Accounting->Asset Accounting->Basic Functions->AS03(Display Asset Master Record),FI-AA-AA,,,
ehs.moc.manchgreqs1,1,2,5,80893,0.042,0.001,0,0.001,0.0093,0.0533,F,Manage Change Requests ????????? MOC,CA,Cross-Application Components,Application Components->Cross-Application Components->Issue & Activity Management->SAP Management of Change->ehs.moc.manchgreqs1(Manage Change Requests ????????? MOC),CA-IAM-MOC,,,
FSP0,1,13,11,262627,0.042,0.005,0,0.003,0.0027,0.0527,W,G/L acct master record in chrt/accts,FI,Financial Accounting,Application Components->Financial Accounting->General Ledger Accounting->Basic Functions->FSP0(G/L acct master record in chrt/accts),FI-GL-GL,,,
mdm.cmd.product.maintain,1,2,5,386976,0.042,0.001,0,0.004,0.0051,0.0521,F,UI for Product Master,LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Material Master->mdm.cmd.product.maintain(UI for Product Master),LO-MD-MM,,,
MK03,1,2,2139,235,0.042,0,0,0.005,0.00495,0.05195,T,Display vendor (Purchasing),LO,Vendor Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->MK03(Display vendor (Purchasing)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-VM->M,,,
FD03,1,13,9602,230,0.042,0,0,0.005,0.00495,0.05195,T,Display Customer (Accounting),LO,Customer Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->FD03(Display Customer (Accounting)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-CM->F,,,
ui.s2p.mm.supplinvoice.manage.s1,1,1,4,99502,0.042,0,0,0.001,0.00885,0.05185,F,Manage Supplier Invoices,MM,Materials Management,Application Components->Materials Management->Materials Management->Materials Management->ui.s2p.mm.supplinvoice.manage.s1(Manage Supplier Invoices),MM-FIO-IV,,,
i2d.pp.plannedorder.converts1,1,1,3,115539,0.042,0,0,0.001,0.00885,0.05185,F,Convert Planned Orders,PP,Production Planning and Control,Application Components->Production Planning and Control->Fiori UI for Production Planning and Control->Fiori UI for Production Planning and Control->i2d.pp.plannedorder.converts1(Convert Planned Order,PP-FIO-MRP,,,
fin.co.accountingimpact.display,1,4,126,123350,0.042,0.002,0,0.001,0.00675,0.05175,F,Fiori application - Display Accounting I,CO,Controlling,Application Components->Controlling->Fiori UI for Overhead Cost Controlling->fin.co.accountingimpact.display(Fiori application - Display Accounting I),CO-FIO,,,
searchPersonalizedSearch,1,1,3,85866,0.042,0,0,0.001,0.0084,0.0514,F,Configure Personalized Search,CA,Cross-Application Components,Application Components->Cross-Application Components->General Application Functions->HANA Search for Business Suite->searchPersonalizedSearch(Configure Personalized Search),CA-GTF-HSB,,,
FAGLB03,1,11,9,198943,0.042,0.005,0,0.002,0.00225,0.05125,W,Display Balances,FI,Financial Accounting,Application Components->Financial Accounting->General Ledger Accounting->FAGLB03(Display Balances),FI-GL,,,
ui.s2p.mm.poitemacc.monitors1,1,3,4,86227,0.042,0.001,0,0.001,0.0072,0.0512,F,Monitor Purchase Order Items by Account,MM,Materials Management,Application Components->Materials Management->Purchasing->Purchase Orders->ui.s2p.mm.poitemacc.monitors1(Monitor Purchase Order Items by Account),MM-PUR-PO,,,
/IWFND/MAINT_SERVICE,1,104,34878,205,0.042,0.002,0.002,0.005,0,0.051,T,Activate and Maintain Services,OP,Gateway Framework,Application Components->Occasional Platform User->OPU-GW (Gateway)->Gateway Framework->/IWFND/MAINT_SERVICE(Activate and Maintain Services),SAP->OPU->OPU-GW->OPU-GW-COR->/IWFND/MAI,,,
ZJUNK1,1,252,13928,184,0.042,0.004,0.001,0.004,0,0.051,R,Test,CA,Cross-Application Components,Application Components->Cross-Application Components->ZJUNK1(Test),SAP->CA->ZJUNK1(Test),,,
SQVI,1,1,1267,176,0.042,0,0,0.004,0.00495,0.05095,T,QuickViewer,BC,SAP Query,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP Query->SQVI(QuickViewer),SAP->BC->BC-SRV->BC-SRV-QUE->SQVI(QuickV,,,
mdm.mdg.mdproc.bupa.ovps1,1,4,10,81527,0.042,0.002,0,0.001,0.00585,0.05085,F,Master Data Process Overview for Busines,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analysis and Remediation of Data Quality->mdm.mdg.mdproc.bupa.ovps1(Master Data Process Overview for Busines),CA-MDG-ADQ,,,
MDG_BS_FILE_IMPORT,1,9,19,73198,0.042,0.004,0,0.001,0.00315,0.05015,W,Import Master Data and Mapping Informati,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Mass Load->MDG_BS_FILE_IMPORT(Import Master Data and Mapping Informati),CA-MDG-ML,,,
BP,1,9,9,235611,0.042,0.004,0,0.002,0.0021,0.0501,W,Maintain Business Partner,AP,Application Platform,Application Components->Application Platform->Master Data->SAP Business Partner->Dialog SAP-GUI->BP(Maintain Business Partner),AP-MD-BP-UI,,,
cus.sd.salesquotations.manage,1,6,14,67453,0.042,0.002,0,0.001,0.0051,0.0501,F,cus.sd.salesquotations.manage,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->cus.sd.salesquotations.manage(cus.sd.salesquotations.manage),SD-SLS,,,
SLIN,1,3,3139,149,0.042,0,0,0.003,0.00495,0.04995,T,ABAP Extended Program Check,BC,Extended Program Check (SLIN),Application Components->Basis Components->ABAP Runtime Environment - ABAP Language Issues Only->ABAP Syntax  Compiler  Runtime->Extended Program Check (SLIN)->SLIN(ABAP Extended Program Check),SAP->BC->BC-ABA->BC-ABA-LA->BC-ABA-LA-EP,,,
ME2M,1,74,3219,103,0.042,0.001,0,0.002,0.00495,0.04995,T,Purchase Orders by Material,MM,Purchasing,Application Components->Materials Management->Purchasing->ME2M(Purchase Orders by Material),SAP->MM->MM-PUR->ME2M(Purchase Orders by,,,
SM59,1,10,5090,145,0.042,0,0,0.003,0.00495,0.04995,T,RFC Destinations (Display/Edit),BC,RFC,Application Components->Basis Components->Middleware->RFC->SM59(RFC Destinations (Display/Edit)),SAP->BC->BC-MID->BC-MID-RFC->SM59(RFC De,,,
XK01,1,8,5,267036,0.042,0.003,0,0.003,0.00165,0.04965,W,Create Vendor (Centrally),LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->XK01(Create Vendor (Centrally)),LO-MD-BP-VM,,,
mdm.cmd.cmpexportfiles1,1,4,4,222229,0.042,0.002,0,0.002,0.003,0.049,F,MD CMP Export Master Data into file,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Consolidation & Mass Processing->Consolidation & Mass Processing->mdm.cmd.cmpexportfiles1(MD CMP Export Master Data into f,CA-MDG-CMP-FIO,,,
ssuite.smartbusiness.tile.s1,1,1,7,152997,0.042,0,0,0.001,0.00585,0.04885,F,Smart Business - Configure Tiles,CA,Cross-Application Components,Application Components->Cross-Application Components->General Application Functions->General Application Functions->General Application Functions->General Application Functions->ssuite.smartbusiness.t,CA-GTF-SB-S4H-DT,,,
fin.ar.manager.ovp,1,1,4,59816,0.042,0,0,0.001,0.0057,0.0487,F,Accounts Receivable Overview page,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI  for Accounts Receivable->fin.ar.manager.ovp(Accounts Receivable Overview page),FI-FIO-AR,,,
fin.ap.lineitems.display,1,5,4,105145,0.042,0.002,0,0.001,0.0033,0.0483,F,Fiori App - Display Vendor Line Items -,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.lineitems.display(Fiori App - Display Vendor Line Items -),FI-FIO-AP,,,
mdm.cmd.mdq.product.general.alps1,1,2,4,77825,0.042,0.001,0,0.001,0.0042,0.0482,F,MDQ Rule Evaluation Result for Product G,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analysis and Remediation of Data Quality->mdm.cmd.mdq.product.general.alps1(MDQ Rule Evaluation Result for Product G),CA-MDG-ADQ,,,
USMD_MASS_CHANGE,1,8,24,692,0.042,0.003,0,0,0.00315,0.04815,W,Mass Change,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_MASS_CHANGE(Mass Change),CA-MDG-AF,,,
